央视,#genre#
浙江卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225703/index.m3u8
深圳卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225700/index.m3u8
湖北卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225699/index.m3u8
湖南卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225704/index.m3u8
海南卫视[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221226212/10000100000000060000000005383445_0.smil/index.m3u8
辽宁卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225696/index.m3u8
重庆卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225692/index.m3u8
黑龙江卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225690/index.m3u8

剧场,#genre#
上海纪实HD,http://39.137.49.76:8080/PLTV/88888910/224/3221225654/index.m3u8
上海纪实高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225655/index.m3u8
健康有约,http://39.137.49.76:8080/PLTV/88888910/224/3221225666/index.m3u8
军旅剧场,http://39.137.49.76:8080/PLTV/88888910/224/3221225669/index.m3u8
农业致富,http://39.137.49.76:8080/PLTV/88888910/224/3221225670/index.m3u8
北京纪实,http://39.137.49.76:8080/PLTV/88888910/224/3221225675/index.m3u8
北京纪实高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225676/index.m3u8
古装剧场,http://39.137.49.76:8080/PLTV/88888910/224/3221225678/index.m3u8
家庭剧场,http://39.137.49.76:8080/PLTV/88888910/224/3221225713/index.m3u8
明星大片,http://39.137.49.76:8080/PLTV/88888910/224/3221225716/index.m3u8
海外剧场,http://39.137.49.76:8080/PLTV/88888910/224/3221225712/index.m3u8
潮妈辣婆,http://39.137.49.76:8080/PLTV/88888910/224/3221225708/index.m3u8
炫舞未来,http://39.137.49.76:8080/PLTV/88888910/224/3221225707/index.m3u8
精品大剧,http://39.137.49.76:8080/PLTV/88888910/224/3221225714/index.m3u8
精品萌宠,http://39.137.49.76:8080/PLTV/88888910/224/3221226245/index.m3u8
超级电影4M,http://39.137.49.76:8080/PLTV/88888910/224/3221225623/index.m3u8
超级电视剧4M,http://39.137.49.76:8080/PLTV/88888910/224/3221225625/index.m3u8
超级综艺4M,http://39.137.49.76:8080/PLTV/88888910/224/3221225620/index.m3u8
超级电影,http://39.137.49.76:8080/PLTV/88888910/224/3221225766/index.m3u8
超级电影-轮播,http://39.137.49.76:8080/PLTV/88888910/224/3221225769/index.m3u8
超级电影频道,http://39.137.49.76:8080/PLTV/88888910/224/3221225764/index.m3u8
超级电视剧,http://39.137.49.76:8080/PLTV/88888910/224/3221225765/index.m3u8
超级综艺,http://39.137.49.76:8080/PLTV/88888910/224/3221225768/index.m3u8
金鹰纪实,http://39.137.49.76:8080/PLTV/88888910/224/3221226198/index.m3u8
金鹰纪实[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221225595/10000100000000060000000000158053_0.smil/index.m3u8
金牌综艺,http://39.137.49.76:8080/PLTV/88888910/224/3221225711/index.m3u8
品质大剧,http://39.137.49.76:8080/PLTV/88888910/224/3221226266/index.m3u8
畅想影院,http://39.137.49.76:8080/PLTV/88888910/224/3221226300/index.m3u8
军事评论,http://39.137.49.76:8080/PLTV/88888910/224/3221225757/index.m3u8
江西防篡改测试01,http://39.137.49.76:8080/PLTV/88888910/224/3221226310/index.m3u8
欢乐剧场标清,http://39.137.49.76:8080/PLTV/88888910/224/3221226210/index.m3u8
东北热剧标清,http://39.137.49.76:8080/PLTV/88888910/224/3221226202/index.m3u8
新华社中文,http://39.137.49.76:8080/PLTV/88888910/224/3221226297/index.m3u8

卡通动画,#genre#
卡酷少儿,http://39.137.49.76:8080/PLTV/88888910/224/3221225677/index.m3u8
优漫卡通,http://39.137.49.76:8080/PLTV/88888910/224/3221225665/index.m3u8
动画王国,http://39.137.49.76:8080/PLTV/88888910/224/3221225672/index.m3u8
金鹰卡通,http://39.137.49.76:8080/PLTV/88888910/224/3221225721/index.m3u8
金鹰卡通[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221226246/519183950.smi/index.m3u8
追番必看,http://39.137.49.76:8080/PLTV/88888910/224/3221226269/index.m3u8
动画世界,http://39.137.49.76:8080/PLTV/88888910/224/3221226272/index.m3u8
嘉佳卡通,http://39.137.49.76:8080/PLTV/88888910/224/3221226193/index.m3u8
炫动卡通,http://39.137.49.76:8080/PLTV/88888910/224/3221225720/index.m3u8


教育,#genre#
CETV[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221225917/10000100000000060000000003020255_0.smil/index.m3u8
中国教育-1,http://39.137.49.76:8080/PLTV/88888910/224/3221225661/index.m3u8
中国教育-2,http://39.137.49.76:8080/PLTV/88888910/224/3221226242/index.m3u8
山东教育,http://39.137.49.76:8080/PLTV/88888910/224/3221225719/index.m3u8
教育频道-4,http://39.137.49.76:8080/PLTV/88888910/224/3221225937/index.m3u8


外语,#genre#
新华社英文,http://39.137.49.76:8080/PLTV/88888910/224/3221226298/index.m3u8
英语新闻,http://39.137.49.76:8080/PLTV/88888910/224/3221225747/index.m3u8
CNC英文,http://39.137.49.76:8080/PLTV/88888910/224/3221225693/index.m3u8
CGTN-记录,http://39.137.49.76:8080/PLTV/88888910/224/3221226260/index.m3u8
CGTN-俄语,http://39.137.49.76:8080/PLTV/88888910/224/3221226282/index.m3u8
CGTN-阿拉伯语,http://39.137.49.76:8080/PLTV/88888910/224/3221226279/index.m3u8
CGTN-法语,http://39.137.49.76:8080/PLTV/88888910/224/3221226276/index.m3u8
CGTN-西班牙语,http://39.137.49.76:8080/PLTV/88888910/224/3221226273/index.m3u8

体育,#genre#
咪咕冬奥-直击8M,http://39.137.49.76:8080/PLTV/88888910/224/3221226241/index.m3u8
咪咕冬奥-雪上8M,http://39.137.49.76:8080/PLTV/88888910/224/3221226238/index.m3u8
咪咕冬奥-冰上8M,http://39.137.49.76:8080/PLTV/88888910/224/3221226235/index.m3u8
咪咕全民热练,http://39.137.49.76:8080/PLTV/88888910/224/3221226261/index.m3u8
咪咕国足1-詹俊,http://39.137.49.76:8080/PLTV/88888910/224/3221226240/index.m3u8
咪咕国足2-娄一晨,http://39.137.49.76:8080/PLTV/88888910/224/3221226243/index.m3u8
精品体育,http://39.137.49.76:8080/PLTV/88888910/224/3221225709/index.m3u8
超级体育,http://39.137.49.76:8080/PLTV/88888910/224/3221225767/index.m3u8
超级体育4M,http://39.137.49.76:8080/PLTV/88888910/224/3221225622/index.m3u8
哒啵电竞,http://39.137.49.76:8080/PLTV/88888910/224/3221226265/index.m3u8
NewTV电竞,http://39.137.49.76:8080/PLTV/88888910/224/3221225653/index.m3u8
世界搏击http://39.137.49.76:8080/PLTV/88888910/224/3221225656/index.m3u8
中国功夫,http://39.137.49.76:8080/PLTV/88888910/224/3221225660/index.m3u8


其它,#genre#
茶,http://39.137.49.76:8080/PLTV/88888888/224/3221225781/10000100000000060000000001007586_0.smil/index.m3u8
汽摩,http://39.137.49.76:8080/PLTV/88888888/224/3221225506/10000100000000060000000000000104_0.smil/index.m3u8
纯享4K,http://39.137.49.76:8080/PLTV/88888910/224/3221225786/index.m3u8

电视购物,#genre#
风尚购物,http://39.137.49.76:8080/PLTV/88888910/224/3221225970/index.m3u8
家有购物,http://39.137.49.76:8080/PLTV/88888910/224/3221225971/index.m3u8
环球购物,http://39.137.49.76:8080/PLTV/88888910/224/3221225972/index.m3u8
好享购物,http://39.137.49.76:8080/PLTV/88888910/224/3221225973/index.m3u8
央广购物,http://39.137.49.76:8080/PLTV/88888910/224/3221225974/index.m3u8
快乐购,http://39.137.49.76:8080/PLTV/88888910/224/3221225975/index.m3u8
中视购物,http://39.137.49.76:8080/PLTV/88888910/224/3221225976/index.m3u8
风尚购物[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221226239/610300002.smil/index.m3u8
优购物,http://39.137.49.76:8080/PLTV/88888910/224/3221226219/index.m3u8
严选购物,http://39.137.49.76:8080/PLTV/88888910/224/3221226190/index.m3u8



